1,3,1,22,1,0,7.25,1
2,1,0,38,1,0,71.2833,0
3,3,0,26,0,0,7.925,1
4,1,0,35,1,0,53.1,1
5,3,1,35,0,0,8.05,1
6,3,1,1000,0,0,8.4583,2
7,1,1,54,0,0,51.8625,1
8,3,1,2,3,1,21.075,1
9,3,0,27,0,2,11.1333,1
10,2,0,14,1,0,30.0708,0
11,3,0,4,1,1,16.7,1
12,1,0,58,0,0,26.55,1
13,3,1,20,0,0,8.05,1
14,3,1,39,1,5,31.275,1
15,3,0,14,0,0,7.8542,1
16,2,0,55,0,0,16,1
17,3,1,2,4,1,29.125,2
18,2,1,1000,0,0,13,1
19,3,0,31,1,0,18,1
20,3,0,1000,0,0,7.225,0
21,2,1,35,0,0,26,1
22,2,1,34,0,0,13,1
23,3,0,15,0,0,8.0292,2
24,1,1,28,0,0,35.5,1
25,3,0,8,3,1,21.075,1
26,3,0,38,1,5,31.3875,1
27,3,1,1000,0,0,7.225,0
28,1,1,19,3,2,263,1
29,3,0,1000,0,0,7.8792,2
30,3,1,1000,0,0,7.8958,1
31,1,1,40,0,0,27.7208,0
32,1,0,1000,1,0,146.5208,0
33,3,0,1000,0,0,7.75,2
34,2,1,66,0,0,10.5,1
35,1,1,28,1,0,82.1708,0
36,1,1,42,1,0,52,1
37,3,1,1000,0,0,7.2292,0
38,3,1,21,0,0,8.05,1
39,3,0,18,2,0,18,1
40,3,0,14,1,0,11.2417,0
41,3,0,40,1,0,9.475,1
42,2,0,27,1,0,21,1
43,3,1,1000,0,0,7.8958,0
44,2,0,3,1,2,41.5792,0
45,3,0,19,0,0,7.8792,2
46,3,1,1000,0,0,8.05,1
47,3,1,1000,1,0,15.5,2
48,3,0,1000,0,0,7.75,2
49,3,1,1000,2,0,21.6792,0
50,3,0,18,1,0,17.8,1
51,3,1,7,4,1,39.6875,1
52,3,1,21,0,0,7.8,1
53,1,0,49,1,0,76.7292,0
54,2,0,29,1,0,26,1
55,1,1,65,0,1,61.9792,0
56,1,1,1000,0,0,35.5,1
57,2,0,21,0,0,10.5,1
58,3,1,28.5,0,0,7.2292,0
59,2,0,5,1,2,27.75,1
60,3,1,11,5,2,46.9,1
61,3,1,22,0,0,7.2292,0
62,1,0,38,0,0,80,3
63,1,1,45,1,0,83.475,1
64,3,1,4,3,2,27.9,1
65,1,1,1000,0,0,27.7208,0
66,3,1,1000,1,1,15.2458,0
67,2,0,29,0,0,10.5,1
68,3,1,19,0,0,8.1583,1
69,3,0,17,4,2,7.925,1
70,3,1,26,2,0,8.6625,1
71,2,1,32,0,0,10.5,1
72,3,0,16,5,2,46.9,1
73,2,1,21,0,0,73.5,1
74,3,1,26,1,0,14.4542,0
75,3,1,32,0,0,56.4958,1
76,3,1,25,0,0,7.65,1
77,3,1,1000,0,0,7.8958,1
78,3,1,1000,0,0,8.05,1
79,2,1,0.83,0,2,29,1
80,3,0,30,0,0,12.475,1
81,3,1,22,0,0,9,1
82,3,1,29,0,0,9.5,1
83,3,0,1000,0,0,7.7875,2
84,1,1,28,0,0,47.1,1
85,2,0,17,0,0,10.5,1
86,3,0,33,3,0,15.85,1
87,3,1,16,1,3,34.375,1
88,3,1,1000,0,0,8.05,1
89,1,0,23,3,2,263,1
90,3,1,24,0,0,8.05,1
91,3,1,29,0,0,8.05,1
92,3,1,20,0,0,7.8542,1
93,1,1,46,1,0,61.175,1
94,3,1,26,1,2,20.575,1
95,3,1,59,0,0,7.25,1
96,3,1,1000,0,0,8.05,1
97,1,1,71,0,0,34.6542,0
98,1,1,23,0,1,63.3583,0
99,2,0,34,0,1,23,1
100,2,1,34,1,0,26,1
101,3,0,28,0,0,7.8958,1
102,3,1,1000,0,0,7.8958,1
103,1,1,21,0,1,77.2875,1
104,3,1,33,0,0,8.6542,1
105,3,1,37,2,0,7.925,1
